Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags
"Sony PlayStation 4","Games","Owned","Assassin's Creed Odyssey [Limited Edition]","United Kingdom","Official","Ubisoft","Ubisoft Quebec","2 May 2025","CIB","10.32","10.65","20.46","10.65","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Battlefield V","United Kingdom","Official","Electronic Arts","DiCE","2 May 2025","CIB","4.80","5.26","13.35","5.26","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Call of Duty: Advanced Warfare","United Kingdom","Official","Activision","Sledgehammer Games","2 May 2025","Boxed","3.70","3.84","9.39","3.84","5.00","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Call of Duty: Black Ops Cold War","United Kingdom","Official","Activision","Treyarch","3 May 2025","CIB","7.10","7.12","15.01","7.12","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Call of Duty: Black Ops III","United Kingdom","Official","Activision","Treyarch","8 Nov 2025","Boxed","3.91","5.49","15.06","5.49","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Call of Duty: Infinite Warfare","United Kingdom","Official","Activision","Infinity Ward","3 May 2025","CIB","3.04","4.30","9.42","4.30","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Call of Duty: Modern Warfare","United Kingdom","Official","Activision","Infinity Ward","3 May 2025","CIB","4.34","4.99","13.45","4.99","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Control","United Kingdom","Official","505 Games","Remedy Entertainment","2 May 2025","CIB","4.54","7.52","14.53","7.52","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Dark Souls Trilogy","United Kingdom","Official","Bandai Namco Entertainment","FromSoftware, Inc.","3 May 2025","CIB","22.40","24.45","29.95","24.45","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Death Stranding [Standard Edition] [Higgs Variant]","United Kingdom","Official","Sony Interactive Entertainment","Kojima Productions (Konami)","18 Oct 2025","CIB","-1.0", "-1.0", "-1.0", "-1.0","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","EA SPORTS UFC 4","United Kingdom","Official","EA Sports","EA Sports","2 May 2025","CIB","10.63","10.98","14.52","10.98","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Elder Scrolls Online: Tamriel Unlimited [Crown Edition]","United Kingdom","Official","Bethesda Softworks","ZeniMax Media","2 May 2025","CIB","1.73","3.35","4.69","3.35","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Far Cry 5","United Kingdom","Official","Ubisoft","Ubisoft Montreal","2 May 2025","CIB","3.96","5.44","8.24","5.44","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","FIFA 14","United Kingdom","Official","EA Sports","EA Canada","18 Oct 2025","Boxed","3.29","5.14","9.25","4.66","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","FIFA 15","United Kingdom","Official","EA Sports","EA Canada","18 Oct 2025","CIB","2.26","2.60","4.97","2.60","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","FIFA 16","United Kingdom","Official","Electronic Arts","EA Canada","2 May 2025","Boxed","1.41","2.93","5.73","2.58","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","FIFA 17","United Kingdom","Official","Electronic Arts","EA Canada","2 May 2025","CIB","1.80","1.83","7.09","1.83","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","FIFA 18","United Kingdom","Official","EA Sports","EA Canada","2 May 2025","Boxed","1.79","2.29","3.56","2.29","-1.0","?","?","?","not to be sold separately ",""
"Sony PlayStation 4","Games","Owned","FIFA 19","United Kingdom","Official","EA Sports","EA Sports","2 May 2025","CIB","2.56","2.57","8.92","2.57","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","FIFA 20","United Kingdom","Official","Electronic Arts","EA Vancouver and EA Romania","2 May 2025","CIB","2.21","2.42","6.78","2.42","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","FIFA 21","United Kingdom","Official","Electronic Arts","EA Canada","11 May 2025","CIB","2.14","4.72","6.67","4.72","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","FIFA 22","United Kingdom","Official","EA Sports","EA Sports","25 Jun 2025","CIB","1.92","4.51","10.00","4.51","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","FIFA 23","United Kingdom","Official","EA Sports","EA Canada","27 Jun 2025","CIB","5.01","6.11","11.58","6.11","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","God of War","United Kingdom","Official","Sony Interactive Entertainment","Sony Santa Monica Studio","2 May 2025","CIB","5.68","5.99","12.31","5.99","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Grand Theft Auto V","United Kingdom","Official","Rockstar Games","Rockstar North","19 Jun 2025","Loose","6.36","7.92","13.17","6.36","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Horizon Zero Dawn [PlayStation Hits]","United Kingdom","Official","Sony Interactive Entertainment","Guerrilla Games","3 May 2025","CIB","-1.0", "-1.0", "-1.0", "-1.0","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Infamous: Second Son [Playstation Hits]","United Kingdom","Official","SCEE","Sucker Punch","3 May 2025","CIB","6.89","9.32","14.69","9.32","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Just Dance 2017","United Kingdom","Official","Ubisoft","Ubisoft Paris","19 Jun 2025","Loose","5.78","6.75","15.64","5.78","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Killzone: Shadow Fall","United Kingdom","Official","Sony Computer Entertainment","Guerrilla Games","2 May 2025","CIB","2.84","3.33","9.08","3.33","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Marvel Avengers","United Kingdom","Official","Square Enix","Crystal Dynamics","3 May 2025","CIB","4.36","4.47","9.88","4.47","-1.0","?","?","?","",""
"Sony PlayStation 4","Games","Owned","Marvel Avengers Bonus Steelbook","United States of America","Official","Square Enix","Square Enix","3 May 2025","B","-1.0", "-1.0", "-1.0", "-1.0","-1.0","?","1","?","",""
"Sony PlayStation 4","Games","Owned","Marvel's Spider-Man","United Kingdom","Official","Sony Interactive Entertainment","Insomniac Games","2 May 2025","CIB","8.89","8.90","21.02","8.90","-1.0","?","?","?","",""
